id,district_id,center_name,address,postal_code,latitude,longitude,geometry,neighborhood,district,neighborhood_id,data_source
6660665090,11001001,Jobcenter Mitte am Leopoldplatz,Müllerstraße 147 (Jobcenter Mitte am Leopoldplatz),13353,52.5467722,13.3565162,POINT (13.3565162 52.5467722),Wedding,Mitte,0105,OSM_LOR
1092468394,11005005,Arbeitsagentur Spandau,Brunsbütteler Damm 75-77,13581,52.5337752,13.1865537,POINT (13.1865537 52.5337752),Spandau,Spandau,0501,OSM_LOR
730832232,11008008,Jobcenter Berlin Neukölln,Mainzer Straße 27,12053,52.4789752,13.4278868,POINT (13.4278868 52.4789752),Neukölln,Neukölln,0801,OSM_LOR
246338546,11012012,Agentur für Arbeit,Innungsstraße 40,13509,52.5784523,13.3087179,POINT (13.3087179 52.5784523),Borsigwalde,Reinickendorf,1211,OSM_LOR
6239357044,11007007,Agentur für Arbeit,"Agentur für Arbeit, 43-44, Gottlieb-Dunkel-Straße, Tempelhof, Tempelhof-Schöneberg, Berlin, Teltow, 12099, Deutschland",12099,52.4565923,13.4114781,POINT (13.4114781 52.4565923),Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
537096787,11001001,Beta gGmbH,Maxstraße 20,13347,52.5492387,13.3645563,POINT (13.3645563 52.5492387),Wedding,Mitte,0105,OSM_LOR
7520248401,11004004,Jobcenter,Goslarer Ufer 37,10589,52.526722,13.3141009,POINT (13.3141009 52.526722),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2182060420,11002002,Synergie,Strausberger Platz 9,10243,52.5187603,13.429594,POINT (13.429594 52.5187603),Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
8583898231,11007007,Agentur für Arbeit,"Agentur für Arbeit, Gerda-und-Wolfgang-Szepansky-Promenade, Tempelhof, Tempelhof-Schöneberg, Berlin, 12105, Deutschland",12105,52.4532534,13.3798804,POINT (13.3798804 52.4532534),Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
7920634112,11009009,Jobcenter Berlin Treptow-Köpenick,Groß-Berliner Damm 73A,12487,52.4458855,13.5159618,POINT (13.5159618 52.4458855),Johannisthal,Treptow-Köpenick,0904,OSM_LOR
241674284,11006006,Jobcenter Berlin Steglitz-Zehlendorf,Birkbuschstraße 10,12167,52.4515453,13.3207428,POINT (13.3207428 52.4515453),Steglitz,Steglitz-Zehlendorf,0601,OSM_LOR
7624913154,11001001,Union Sozialer Einrichtungen,Koloniestraße 133,13359,52.5581495,13.3783524,POINT (13.3783524 52.5581495),Gesundbrunnen,Mitte,0106,OSM_LOR
6735264363,11002002,A. Eastside Arbeitsvermittlung,Karl-Marx-Allee 104,10243,52.5164128,13.4441982,POINT (13.4441982 52.5164128),Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
3851635472,11001001,Jobcenter,Seydelstraße 2-5,10117,52.5105226,13.4023826,POINT (13.4023826 52.5105226),Mitte,Mitte,0101,OSM_LOR
2782312819,11001001,Job-Point,Alt-Moabit 84,10555,52.5255348,13.3395222,POINT (13.3395222 52.5255348),Moabit,Mitte,0102,OSM_LOR
221295547,11010010,Jobcenter Marzahn Hellersdorf // Bearbeitungsservice,"Jobcenter Marzahn Hellersdorf // Bearbeitungsservice, 29, Allee der Kosmonauten, Friedrichsfelde Ost, Marzahn, Marzahn-Hellersdorf, Berlin, 12681, Deutschland",12681,52.5265041,13.5266781,POINT (13.5266781 52.5265041),Marzahn,Marzahn-Hellersdorf,1001,OSM_LOR
3281941229,11005005,Jobcenter,Wohlrabedamm 32,13629,52.5343732,13.2682598,POINT (13.2682598 52.5343732),Siemensstadt,Spandau,0503,OSM_LOR
872603820,11003003,HandsNOW,Ossietzkystraße 6,13187,52.571654,13.4089019,POINT (13.4089019 52.571654),Pankow,Pankow,0307,OSM_LOR
174067315,11005005,Jugendberufsagentur Berlin,Wohlrabedamm 32,13629,52.5344817,13.2682987,POINT (13.2682987 52.5344817),Siemensstadt,Spandau,0503,OSM_LOR
1346016268,11001001,Zenjob,"Zenjob, Stromstraße, Alt-Moabit, Moabit, Mitte, Berlin, 10555, Deutschland",10555,52.5275788,13.3436479,POINT (13.3436479 52.5275788),Moabit,Mitte,0102,OSM_LOR
9035098171,11008008,Job Point,Karl-Marx-Straße 131-133,12043,52.4774189,13.4388623,POINT (13.4388623 52.4774189),Neukölln,Neukölln,0801,OSM_LOR
9928570501,11008008,perZukunft,Karl-Marx-Straße 127,12043,52.4777502,13.4386291,POINT (13.4386291 52.4777502),Neukölln,Neukölln,0801,OSM_LOR
4971452348,11001001,Kraftfahrer-Agentur,Barfusstraße 15,13349,52.5556712,13.3468772,POINT (13.3468772 52.5556712),Wedding,Mitte,0105,OSM_LOR
8047935258,11004004,McLoud Kids,"McLoud Kids, Wilmersdorfer Straße, Alt-Lietzow, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10585, Deutschland",10585,52.5161332,13.3044778,POINT (13.3044778 52.5161332),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
5289868853,11004004,Timejobs 24/7,Blissestraße 30,10713,52.4824552,13.3201326,POINT (13.3201326 52.4824552),Wilmersdorf,Charlottenburg-Wilmersdorf,0402,OSM_LOR
1129523416,11007007,Tertia,Hauptstraße 103,10827,52.479867,13.3461686,POINT (13.3461686 52.479867),Schöneberg,Tempelhof-Schöneberg,0701,OSM_LOR
5143588136,11003003,Litus Novum,"Litus Novum, Zum Langen Jammer, Eldenaer Viertel, Prenzlauer Berg, Pankow, Berlin, 10247, Deutschland",10247,52.5208577,13.4662072,POINT (13.4662072 52.5208577),Prenzlauer Berg,Pankow,0301,OSM_LOR
1586545425,11006006,per Zukunft,Schildhornstraße 92,12163,52.462375,13.3215407,POINT (13.3215407 52.462375),Steglitz,Steglitz-Zehlendorf,0601,OSM_LOR
451593739,11004004,Mein Ass,Wilhelmsaue 110,10715,52.4851003,13.3206972,POINT (13.3206972 52.4851003),Wilmersdorf,Charlottenburg-Wilmersdorf,0402,OSM_LOR
2225347558,11004004,Job-Point,Pestalozzistraße 80,10627,52.5077626,13.3079684,POINT (13.3079684 52.5077626),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2051319665,11008008,TSP Trucker Service Personalleasing GmbH,Britzer Damm 131,12347,52.4511321,13.4381021,POINT (13.4381021 52.4511321),Britz,Neukölln,0802,OSM_LOR
6128105752,11008008,Selbstinformationseinrichtung,"Selbstinformationseinrichtung, Rollbergstraße, Flughafenkiez, Neukölln, Berlin, 12053, Deutschland",12053,52.4788379,13.4275433,POINT (13.4275433 52.4788379),Neukölln,Neukölln,0801,OSM_LOR
1039274589,11008008,Tagesjobvermittlung,Mainzer Straße 27,12053,52.478956,13.4278911,POINT (13.4278911 52.478956),Neukölln,Neukölln,0801,OSM_LOR
9234048244,11004004,extra Team,Carmerstraße 2,10623,52.507869,13.3246286,POINT (13.3246286 52.507869),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
3748977231,11004004,Berliner JobCoach,"Berliner JobCoach, Cauerstraße, Alt-Lietzow, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10587, Deutschland",10587,52.5182521,13.3181861,POINT (13.3181861 52.5182521),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
1101041415,11002002,La Strada Doells Schauspielagentur,Kreuzbergstraße 71,10965,52.4897266,13.3833236,POINT (13.3833236 52.4897266),Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
8950307528,11002002,Agentur Wendel,Rudi-Dutschke-Straße 23,10969,52.5066406,13.3916376,POINT (13.3916376 52.5066406),Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
744442638,11004004,Fischer & Partner,Knesebeckstraße 91,10623,52.5082941,13.3231333,POINT (13.3231333 52.5082941),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2579633751,11002002,Templex,"Templex, Frankfurter Allee, Boxhagener Kiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland",10247,52.5154679,13.4549703,POINT (13.4549703 52.5154679),Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
5057348829,11001001,Agentur Neidig,Wiclefstraße 2,10551,52.5301587,13.3406314,POINT (13.3406314 52.5301587),Moabit,Mitte,0102,OSM_LOR
9462705127,11001001,Players Agentur Management,Sophienstraße 21,10178,52.525917,13.4007908,POINT (13.4007908 52.525917),Mitte,Mitte,0101,OSM_LOR
7596756318,11004004,Fitz+Skoglund Agents,Savignyplatz 6,10623,52.5066774,13.322114,POINT (13.322114 52.5066774),Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
7211656755,11001001,Agentur Schlag,Joseph-Haydn-Straße 1,10557,52.5149233,13.3371231,POINT (13.3371231 52.5149233),Hansaviertel,Mitte,0103,OSM_LOR
9992346766,11002002,ZAV-Künstlervermittlung Berlin,Friedrichstraße 39,10969,52.5059928,13.3908956,POINT (13.3908956 52.5059928),Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
3608024519,11001001,recrew,"recrew, 44, Georgenstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",10117,52.5200629,13.3934256,POINT (13.3934256 52.5200629),Mitte,Mitte,0101,OSM_LOR
2494043099,11002002,Personalservice Fliegenschmidt,Lebuser Straße 17,10243,52.5185382,13.4328279,POINT (13.4328279 52.5185382),Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
3137117730,11001001,BSM Personalmanagement,"BSM Personalmanagement, Lehrter Straße, Moabit, Mitte, Berlin, 10557, Deutschland",10557,52.5356149,13.3575242,POINT (13.3575242 52.5356149),Moabit,Mitte,0102,OSM_LOR
4738066235,11007007,Jobcenter Berlin Tempelhof-Schöneberg,Wolframstraße 89-92,12105,52.453775345631065,13.379105348796859,"POLYGON ((13.379858 52.4535257, 13.3789797 52.4533142, 13.3784031 52.4539417, 13.379223 52.4542313, 13.379858 52.4535257), (13.3789197 52.4536171, 13.3790687 52.4534535, 13.3796033 52.4535816, 13.3794114 52.4537902, 13.3789197 52.4536171), (13.3788253 52.4537199, 13.3793168 52.4538877, 13.3792163 52.4539971, 13.3787247 52.4538293, 13.3788253 52.4537199))",Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
5878635903,11002002,Agentur für Arbeit,Charlottenstraße 87-90,10969,52.50546523172733,13.391688478259818,"POLYGON ((13.3912074 52.5050907, 13.3909453 52.505075, 13.3909411 52.505101, 13.3909375 52.5051233, 13.3909516 52.5051241, 13.3909129 52.5053633, 13.3909 52.5053625, 13.3908902 52.5054231, 13.3908804 52.5054837, 13.3908919 52.5054844, 13.3908524 52.5057287, 13.3908093 52.5057262, 13.3908056 52.5057492, 13.3908021 52.5057709, 13.3910609 52.5057864, 13.3910957 52.5057885, 13.3910998 52.5057635, 13.3911027 52.5057455, 13.3911786 52.50575, 13.391185 52.5057105, 13.3911082 52.5057059, 13.3911184 52.5056432, 13.3921736 52.5057065, 13.3921704 52.5057263, 13.3922034 52.5057283, 13.3921891 52.5058165, 13.392209 52.5058177, 13.3924725 52.5058335, 13.3924762 52.5058107, 13.3924803 52.5057849, 13.3924505 52.5057831, 13.392493 52.5055206, 13.392543 52.5052113, 13.392581 52.5052136, 13.3925859 52.5051835, 13.3925885 52.5051674, 13.3925835 52.5051664, 13.3923023 52.5051497, 13.392279 52.5052938, 13.3911856 52.5052283, 13.3911943 52.5051746, 13.3912733 52.5051794, 13.3912793 52.5051425, 13.3911998 52.5051378, 13.3912074 52.5050907), (13.3911432 52.5054734, 13.391233 52.5054791, 13.3912457 52.5054111, 13.3911537 52.5054038, 13.3911612 52.5053585, 13.3915938 52.5053852, 13.3915681 52.5055396, 13.3911367 52.505513, 13.3911432 52.5054734), (13.392239 52.5055336, 13.3922316 52.5055823, 13.3918328 52.5055599, 13.3918567 52.5054028, 13.3922536 52.5054252, 13.3922472 52.5054672, 13.3921871 52.5054632, 13.3921734 52.5054627, 13.3921599 52.5054643, 13.3921439 52.5054691, 13.3921312 52.5054767, 13.3921229 52.5054864, 13.39212 52.5054971, 13.3921219 52.5055064, 13.3921277 52.505515, 13.3921372 52.5055223, 13.3921495 52.5055279, 13.3921635 52.5055312, 13.3921785 52.5055322, 13.392239 52.5055336))",Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
1675953474,11008008,Agentur für Arbeit,Sonnenallee 282,12057,52.4696729815217,13.464542671225956,"POLYGON ((13.463822 52.4695792, 13.4645513 52.4699625, 13.4645551 52.4699598, 13.4645998 52.4699833, 13.4646029 52.4699842, 13.4646061 52.4699848, 13.4646096 52.4699851, 13.4646133 52.469985, 13.4646165 52.4699845, 13.4646197 52.4699836, 13.4646227 52.4699824, 13.4646253 52.4699808, 13.4647142 52.469918, 13.4647477 52.4699357, 13.4649357 52.4698029, 13.4651875 52.4696251, 13.4651349 52.4695974, 13.4651705 52.4695722, 13.4651419 52.4695572, 13.4651472 52.4695535, 13.465142 52.4695508, 13.4651015 52.4695794, 13.4648488 52.4694465, 13.464737 52.4695255, 13.4647258 52.4695334, 13.4645487 52.4696584, 13.4646978 52.4697367, 13.4647035 52.4697327, 13.464715 52.4697388, 13.4645775 52.4698359, 13.4645694 52.4698316, 13.4645672 52.4698332, 13.4640992 52.4695872, 13.4643064 52.4694408, 13.4642776 52.4694257, 13.4642883 52.4694181, 13.4641589 52.4693502, 13.4639046 52.4695297, 13.4638576 52.469505, 13.463853 52.4695083, 13.4638586 52.4695112, 13.4638336 52.4695289, 13.4638752 52.4695507, 13.4638345 52.4695795, 13.4638271 52.4695756, 13.463822 52.4695792))",Neukölln,Neukölln,0801,OSM_LOR
9596310101,11003003,Agentur für Arbeit,Storkower Straße 120,10407,52.5347616955284,13.451135029390699,"POLYGON ((13.4509675 52.5350599, 13.4507858 52.5349948, 13.4513071 52.5344621, 13.4514843 52.5345253, 13.4513402 52.5346743, 13.4509675 52.5350599))",Prenzlauer Berg,Pankow,0301,OSM_LOR
3773718987,11010010,Agentur für Arbeit,"Agentur für Arbeit, Kokoschkastraße, Helle Mitte, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12627, Deutschland",12627,52.53860358238496,13.606468593666465,"POLYGON ((13.6060026 52.538684, 13.606506 52.5387225, 13.6070074 52.5387609, 13.6070534 52.5385384, 13.60688 52.5385252, 13.6068559 52.5386416, 13.6061952 52.538591, 13.6062495 52.5383284, 13.6060789 52.5383153, 13.6060026 52.538684))",Hellersdorf,Marzahn-Hellersdorf,1005,OSM_LOR
3122911182,11004004,Agentur für Arbeit,Königin-Elisabeth-Straße 49 (Agentur für Arbeit Berlin Nord),14059,52.51580090943856,13.280207894467939,"POLYGON ((13.279485 52.5156196, 13.2799189 52.5156461, 13.2799241 52.5156141, 13.2799159 52.5156136, 13.2799725 52.5152693, 13.2806431 52.5153101, 13.280624 52.5154258, 13.280596 52.5154241, 13.2805924 52.515446, 13.2806335 52.5154485, 13.2805953 52.5156807, 13.280629 52.5156828, 13.2806073 52.5158144, 13.2805728 52.5158123, 13.2805348 52.5160433, 13.2804914 52.5160406, 13.2804871 52.5160672, 13.2805109 52.5160687, 13.280429 52.5165659, 13.2803076 52.5165585, 13.2803059 52.5165686, 13.2802096 52.5165627, 13.2802153 52.5165281, 13.2802397 52.5165296, 13.2803008 52.5161587, 13.2801395 52.5161489, 13.2801358 52.5161714, 13.2800624 52.516167, 13.2800661 52.5161441, 13.2800156 52.516141, 13.279999 52.5162419, 13.2798029 52.51623, 13.2798645 52.5158559, 13.2798423 52.5158545, 13.2798482 52.5158188, 13.2798883 52.5158213, 13.2798983 52.5157604, 13.2794662 52.515734, 13.279485 52.5156196))",Westend,Charlottenburg-Wilmersdorf,0405,OSM_LOR
5682391286,11011011,Jobcenter Berlin-Lichtenberg,Gotlindestraße 93,10365,52.517978657251184,13.48726012141007,"POLYGON ((13.4886086 52.5183143, 13.4885605 52.5180653, 13.4882992 52.5171925, 13.4879554 52.5172271, 13.4878959 52.5172326, 13.487973 52.5175488, 13.4878081 52.5175676, 13.4877709 52.5175711, 13.486095 52.5177311, 13.4858154 52.5177544, 13.4856858 52.5177678, 13.4856915 52.5177827, 13.4857088 52.517836, 13.4857241 52.5178893, 13.4858605 52.5183868, 13.4858666 52.5184048, 13.4858992 52.5184271, 13.4859521 52.518437, 13.4880607 52.5183814, 13.4885445 52.5183639, 13.4885761 52.5183559, 13.4886005 52.5183354, 13.4886086 52.5183143))",Lichtenberg,Lichtenberg,1103,OSM_LOR
3645868951,11003003,Jobcenter,Storkower Straße 133,10407,52.534751568459164,13.454995825958425,"POLYGON ((13.4543076 52.5350808, 13.4541202 52.5350162, 13.4547112 52.5344141, 13.4548998 52.53448, 13.454894 52.5344861, 13.4549117 52.5344929, 13.4560491 52.5349117, 13.4559416 52.5350227, 13.4548658 52.5346275, 13.4548763 52.5346168, 13.4547948 52.5345866, 13.4543076 52.5350808))",Prenzlauer Berg,Pankow,0301,OSM_LOR
